,anime_id,name,genre,type,episodes,rating,members
10464,33662,Taka No Tsume 8 Yoshidakun No Xfiles,"Comedy, Parody",Movie,1,10.0,13
10400,30120,Spoonhime No Swing Kitchen,"Adventure, Kids",TV,Unknown,9.6,47
9595,23005,Mogura No Motoro,Slice of Life,Movie,1,9.5,62
0,32281,Kimi No Na Wa,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630
9078,33607,Kahei No Umi,Historical,Movie,1,9.33,44
1,5114,Fullmetal Alchemist Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665
2,28977,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262
10786,26313,Yakusoku Africa Mizu To Midori,"Drama, Kids",OVA,1,9.25,53
3,9253,Steinsgate,"Sci-Fi, Thriller",TV,24,9.17,673572
5,32935,Haikyuu Karasuno Koukou Vs Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351
6,11061,Hunter X Hunter 2011,"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855
9,15417,Gintama Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109
7,820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679
8,15335,Gintama Movie Kanketsuhen  Yorozuya Yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534
10,4181,Clannad After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749
11,28851,Koe No Katachi,"Drama, School, Shounen",Movie,1,9.05,102733
10191,32796,Shenmi Shijie Lixian Ji,"Adventure, Comedy, Fantasy",Movie,1,9.0,37
9539,26259,Mienu Me Ni Kanjita Kumotoriyama No Asahi,"Drama, Kids",OVA,1,9.0,47
9831,26145,Okaachan Gomen Ne,"Historical, Kids",Movie,1,9.0,47
10181,32627,Shaka No Shougai,Historical,Movie,1,9.0,31
10136,34191,Santasan Wa Dai Isogashi,"Fantasy, Kids",OVA,1,9.0,25
9577,33980,Mirai Ni Mukete Bousai Wo Kangaeru,Drama,Movie,1,9.0,77
13,2904,Code Geass Hangyaku No Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888
14,28891,Haikyuu Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342
15,199,Sen To Chihiro No Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254
16,23273,Shigatsu Wa Kimi No Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397
17,24701,Mushishi Zoku Shou 2Nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894
18,12355,Ookami Kodomo No Ame To Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193
21,44,Rurouni Kenshin Meiji Kenkaku Romantan  Tsuiokuhen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307
19,1575,Code Geass Hangyaku No Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151
20,263,Hajime No Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670
22,1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824
23,30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458
25,7311,Suzumiya Haruhi No Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297
24,164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556
10102,31547,Ryouma 30 Seconds,Historical,TV,5,8.8,54
26,17074,Monogatari Series Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959
27,21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351
29,2001,Tengen Toppa Gurren Lagann,"Action, Adventure, Comedy, Mecha, Sci-Fi",TV,27,8.78,562962
28,457,Mushishi,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,26,8.78,300030
30,245,Great Teacher Onizuka,"Comedy, Drama, School, Shounen, Slice of Life",TV,43,8.77,268487
31,32983,Natsume Yuujinchou Go,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",TV,13,8.76,38865
